constructor_ref,constructor_name,constructor_nationality,constructor_url,constructorStandingsId,raceId,constructor_points,constructor_position,positionText,wins
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,23483,530,3,8,8,0
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,27043,998,287,1,1,4
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,26890,984,5,10,10,0
arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,5796,157,1,10,10,0
arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,9389,385,23,4,4,0
arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,10949,479,5,10,10,0
brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,8692,10,114,1,1,6
tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,11383,503,5,9,9,0
lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,19829,722,0,9,9,0
ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,3442,301,4,8,8,0
ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,23324,554,10,8,8,1
simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek,25579,261,0,13,13,0
brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham,10845,473,15,5,5,1
zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed,8984,366,0,19,19,0
toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman,10895,476,0,16,16,0
fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,11367,502,8,6,6,0
fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,23119,574,3,11,11,0
shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,22921,564,4,5,5,0
mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One),23349,555,0,18,18,0
lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar,22392,601,0,17,17,0
token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team),22372,600,0,14,14,0
matra,Matra,French,http://en.wikipedia.org/wiki/Matra,21989,628,11,8,8,0
fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),18905,762,0,12,12,0
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,20830,685,0,15,15,0
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,28188,1079,17,7,7,0
